Time elapsed [min],Timestamp [s]
2.733880 , 73149.763279
3.284619 , 73256.005273
2.944464 , 73452.816124
4.004318 , 73631.347161
3.625431 , 73664.834750
3.523943 , 73696.543468
3.284319 , 73738.488146
4.587937 , 73960.828015
4.074779 , 73991.036724
3.553880 , 74046.520602
2.872124 , 74099.888539
2.862564 , 74266.158833
3.969268 , 74385.414791
3.194878 , 74422.592844
2.816491 , 74697.403947
3.920929 , 74864.157931
3.310745 , 75743.349045
3.636872 , 76131.152550
3.347426 , 76178.301834
4.413450 , 77027.393342
4.764770 , 77158.014473
5.408717 , 77289.684490
3.486518 , 77640.324244
3.009899 , 77960.547279
3.101699 , 78212.611108
5.064439 , 78519.284688
4.935432 , 78597.057098
4.848275 , 78627.791853
3.776049 , 78665.465921
3.132111 , 78695.231791
3.896093 , 79255.688953
3.611061 , 79770.928098
3.318771 , 80546.395193
2.869379 , 80858.893120
3.322265 , 81988.345198
4.300377 , 82146.183926
3.228327 , 82236.685460
3.789157 , 82380.171505
2.812117 , 82455.989276
2.875794 , 82615.462379
5.187813 , 83181.608917
4.446645 , 83257.679821
3.331657 , 83415.443053
2.690996 , 83478.343518
4.338513 , 83860.470645
3.255542 , 83938.185843
3.108431 , 84503.820521
2.620394 , 85272.482750
3.624574 , 86267.691224
3.528186 , 86341.815512
