OrderId [number],Type [string],Chips [bool],Drink [bool],Value [€], Timestamp [s]
1035 , chicken , 1 , 1 , 11.500000 , 17178.464493
1035 , chicken , 1 , 1 , 11.500000 , 17178.464493
1036 , chicken , 1 , 1 , 11.500000 , 17778.672791
1036 , chicken , 1 , 1 , 11.500000 , 17778.672791
1036 , veggy , 1 , 1 , 10.500000 , 17778.672791
1036 , meat , 1 , 1 , 12.500000 , 17778.672791
1037 , veggy , 1 , 1 , 10.500000 , 18130.098717
1037 , veggy , 1 , 1 , 10.500000 , 18130.098717
1037 , meat , 0 , 1 , 9.500000 , 18130.098717
1037 , veggy , 1 , 1 , 10.500000 , 18130.098717
1037 , chicken , 0 , 1 , 8.500000 , 18130.098717
1038 , meat , 1 , 1 , 12.500000 , 18945.272724
1038 , meat , 1 , 1 , 12.500000 , 18945.272724
1038 , veggy , 1 , 1 , 10.500000 , 18945.272724
1038 , veggy , 1 , 1 , 10.500000 , 18945.272724
1038 , chicken , 1 , 1 , 11.500000 , 18945.272724
1039 , meat , 1 , 1 , 12.500000 , 19072.306084
1039 , chicken , 1 , 1 , 11.500000 , 19072.306084
1039 , veggy , 1 , 1 , 10.500000 , 19072.306084
1039 , veggy , 0 , 1 , 7.500000 , 19072.306084
1040 , meat , 1 , 1 , 12.500000 , 19595.437162
1040 , veggy , 1 , 1 , 10.500000 , 19595.437162
1040 , veggy , 0 , 1 , 7.500000 , 19595.437162
1040 , chicken , 1 , 1 , 11.500000 , 19595.437162
1040 , chicken , 1 , 1 , 11.500000 , 19595.437162
1041 , meat , 0 , 1 , 9.500000 , 19689.940719
1041 , veggy , 0 , 1 , 7.500000 , 19689.940719
1041 , veggy , 1 , 1 , 10.500000 , 19689.940719
1042 , veggy , 1 , 1 , 10.500000 , 19961.015159
1043 , meat , 1 , 0 , 10.000000 , 20878.861218
1043 , chicken , 1 , 1 , 11.500000 , 20878.861218
1043 , meat , 0 , 1 , 9.500000 , 20878.861218
1044 , chicken , 1 , 1 , 11.500000 , 22688.795345
1044 , meat , 1 , 1 , 12.500000 , 22688.795345
1044 , meat , 1 , 1 , 12.500000 , 22688.795345
1045 , meat , 1 , 0 , 10.000000 , 23052.894365
1045 , meat , 1 , 1 , 12.500000 , 23052.894365
1045 , veggy , 1 , 1 , 10.500000 , 23052.894365
1046 , meat , 1 , 1 , 12.500000 , 23221.250402
1046 , chicken , 1 , 1 , 11.500000 , 23221.250402
1047 , veggy , 0 , 1 , 7.500000 , 23426.796686
1047 , meat , 1 , 1 , 12.500000 , 23426.796686
1048 , chicken , 1 , 0 , 9.000000 , 23467.004008
1049 , veggy , 1 , 1 , 10.500000 , 23653.692707
1049 , chicken , 0 , 1 , 8.500000 , 23653.692707
1049 , chicken , 1 , 1 , 11.500000 , 23653.692707
1050 , veggy , 1 , 1 , 10.500000 , 23839.728526
1050 , veggy , 1 , 1 , 10.500000 , 23839.728526
1050 , chicken , 0 , 0 , 6.000000 , 23839.728526
1050 , meat , 1 , 1 , 12.500000 , 23839.728526
1050 , meat , 1 , 1 , 12.500000 , 23839.728526
1052 , veggy , 1 , 1 , 10.500000 , 23940.753502
1051 , meat , 1 , 1 , 12.500000 , 24008.785552
1051 , veggy , 1 , 1 , 10.500000 , 24008.785552
1051 , veggy , 0 , 1 , 7.500000 , 24008.785552
1051 , meat , 1 , 0 , 10.000000 , 24008.785552
1051 , chicken , 1 , 1 , 11.500000 , 24008.785552
1053 , meat , 1 , 1 , 12.500000 , 24023.524509
1054 , chicken , 1 , 1 , 11.500000 , 24087.820442
1054 , meat , 1 , 1 , 12.500000 , 24087.820442
1055 , chicken , 1 , 1 , 11.500000 , 24621.774584
1055 , meat , 1 , 1 , 12.500000 , 24621.774584
1055 , veggy , 1 , 1 , 10.500000 , 24621.774584
